[190.  682.5],[3.1920000e+03 9.8245614e-01]
[200.  684.5],[4.08000000e+03 1.56862745e+00]
[200.  684.5],[4.08000000e+03 1.56862745e+00]
[200.  684.5],[4.08000000e+03 1.56862745e+00]
[200.  684.5],[4.08000000e+03 1.56862745e+00]
[202.  684.1],[4.26832000e+03 1.59073359e+00]
[202.38170952 684.02330953],[4.30475591e+03 1.59485388e+00]
[202.38170952 684.02330953],[4.30475591e+03 1.59485388e+00]
[207.14647664 683.60979764],[4.49029373e+03 1.71087947e+00]
[209.02301542 683.10516095],[4.78785791e+03 1.68782909e+00]
[212.04006256 682.59374362],[4.90949078e+03 1.64507955e+00]
[216.49569561 683.1175846 ],[4.82022655e+03 1.67097142e+00]
[220.40305604 682.63890085],[4.94139636e+03 1.65067251e+00]
[225.44116118 682.47326999],[4.94407309e+03 1.63080900e+00]
[229.2088205  682.08559393],[5.07558199e+03 1.62774886e+00]
[233.15308952 682.61448143],[5.07306149e+03 1.69033724e+00]
[239.80265233 682.49267346],[5.05629442e+03 1.66993019e+00]
[242.1906507  682.45238575],[5.04586790e+03 1.66168547e+00]
[248.58099854 682.44259627],[5.00256135e+03 1.64632430e+00]
[250.8397904  682.44377293],[4.98376925e+03 1.64034493e+00]
[254.52244432 682.44848001],[5.01145521e+03 1.65007896e+00]
[254.52244432 682.44848001],[5.01145521e+03 1.65007896e+00]
[258.08280854 682.12296074],[4.99598814e+03 1.68596428e+00]
[261.59754632 682.00356494],[5.07420080e+03 1.64712388e+00]
[266.08647683 681.96246413],[5.10152246e+03 1.63276383e+00]
[269.95220556 681.95126126],[5.14751578e+03 1.63912768e+00]
[276.54560386 681.62164259],[5.22418290e+03 1.62249116e+00]
[278.89950956 681.50042546],[5.25182478e+03 1.61629722e+00]
[281.94326072 681.13025485],[5.28318503e+03 1.58422762e+00]
[285.25422752 680.99412924],[5.33170578e+03 1.58373824e+00]
[288.34302068 681.27586702],[5.36403400e+03 1.62476161e+00]
[291.67993345 681.38956451],[5.33633569e+03 1.62929236e+00]
[295.4395434  681.43602153],[5.44735574e+03 1.59412237e+00]
[299.36205797 681.45561122],[5.41003516e+03 1.55888371e+00]
[302.68391981 681.46563939],[5.35096793e+03 1.60377513e+00]
[305.78252299 680.80924236],[5.32578574e+03 1.62166957e+00]
[311.4323373  680.89697989],[5.37716053e+03 1.60983179e+00]
[315.74233541 680.93341659],[5.43399427e+03 1.61680491e+00]
[317.2336903  680.95073868],[5.45470354e+03 1.61944348e+00]
[319.62850848 681.29002087],[5.44627964e+03 1.57979856e+00]
[322.70385362 681.42003042],[5.48053012e+03 1.57621724e+00]
[326.04617926 681.1415493 ],[5.51443186e+03 1.54657845e+00]
[329.15817572 681.36420334],[5.46584259e+03 1.55264117e+00]
[332.51554032 681.12116894],[5.46747296e+03 1.52707957e+00]
[337.29360809 681.03010426],[5.50718037e+03 1.52879800e+00]
[338.96081498 680.99675309],[5.52158502e+03 1.52967003e+00]
[338.96081498 680.99675309],[5.52158502e+03 1.52967003e+00]
[341.43810222 680.98559311],[5.52638241e+03 1.53022777e+00]
[344.22865705 680.98282217],[5.52755712e+03 1.53064014e+00]
[347.47140165 681.3127173 ],[5.62820542e+03 1.52524116e+00]
[350.22658845 681.43803358],[5.62563407e+03 1.51255962e+00]
[352.79519921 681.15671207],[5.64345026e+03 1.48114752e+00]
[354.96375246 681.04962998],[5.64925950e+03 1.46964616e+00]
[357.64982988 681.33756768],[5.59104990e+03 1.48127734e+00]
[357.64982988 681.33756768],[5.59104990e+03 1.48127734e+00]
[360.2017965  681.11811219],[5.66917459e+03 1.48095802e+00]
[362.70576464 681.03549784],[5.73920685e+03 1.49167710e+00]
[365.19300041 681.3337533 ],[5.78485676e+03 1.46971590e+00]
[369.32549115 681.44714762],[5.71783112e+03 1.44066681e+00]
[370.76691864 681.1613865 ],[5.75066735e+03 1.41519563e+00]
[372.85629215 680.72480807],[5.66158578e+03 1.41008552e+00]
[374.52591953 681.54664051],[5.72852848e+03 1.40450337e+00]
[376.7098672  682.18601678],[5.85538056e+03 1.39870257e+00]
[379.08793636 682.09968718],[5.91934707e+03 1.37281023e+00]
[381.87079775 682.38999267],[6.00159718e+03 1.35006706e+00]
[382.82103186 682.49806484],[6.03204680e+03 1.34190063e+00]
[384.73688251 682.86277047],[5.93955517e+03 1.34243308e+00]
[388.01690813 682.9980683 ],[5.90323019e+03 1.34313665e+00]
[389.15772604 683.04437432],[5.88887414e+03 1.34376537e+00]
[390.48845974 684.04551019],[5.98581593e+03 1.34097430e+00]
[392.22780911 684.09026516],[5.99171060e+03 1.30766104e+00]
[394.12100514 684.09975766],[6.08317244e+03 1.31501623e+00]
[395.7474509  684.09572691],[5.98199059e+03 1.28896295e+00]
[398.26614345 684.08744079],[5.94242304e+03 1.27935542e+00]
[399.1272179  684.07834577],[5.92727210e+03 1.27613551e+00]
